000000000001|NENA INDUSTRIA QUIMICA LTDA|NENA|30876999000106|77573500|AV ALMEIDA GARRET|DUQUE DE CAXIAS|RIO DE JANEIRO||25231-160|430||RJ||
000000000002|AFJ ESQUADRIAS DE MADEIRAS LTDA EPP|ESQUADRIART|10893767000140|79468843|RODOVIA 416|RODEIO|SANTA CATARINA||89136-000|6474|RODEIO 12|SC|47-3384-3690|47-3384-0079
000000000003|FRETE - COMISSOES DIVERSOS|FRETES|14171831000130|||||||||||
000000000004|MACASIL IND E COM DE COMPENSADOS LTDA EPP|MACASIL|12150265000155||RUA EMILIO KRONI|ROCIO|UNIAO VITORIA||84600-000|531||PR|42-3521-9200|
000000000005|COMPENSADOS BR LTDA|COMPENSADOS BR|80736432000102|251727742|RUA ITABORAI|D-EFAPI|CHAPECO||89809-080|235||SC|49-3328-6928|
000000000006|OSNI LUCIANO NIEDZIELA EIRELI EPP|OSNI|08248443000108||RUA ESTANISLAU GLOMB|UNIAO DA VITORIA|OURO VERDE||84600-000|100|BARRACAO B|PR|42-3524-3460|
000000000007|ARALIPTO LTDA ME|ARALIPTO|13332159000155||RUA 23 DE MAIO|CENTRO|ARACRUZ||29190-090|88||ES|27-3296-0870|27-8159-9664
000000000008|LP BRASIL OSB IND E COM S.A.|LP BRASIL|09408913000116||ROD BR 376 KM 503 SENT SUL|COLONIA DONA LUIZA|PONTA GROSSA||84043-450|1690||PR|42-3228-3656|42-3228-3650
000000000009|PROMOCOES MS LTDA|MADEREIRA SERRANA|09335393000169||HELIO ANJOS ORTIZ|CENTRO|PONTE ALTA||88550-000|S/N||SC||
000000000010|FLORACOMP IND DE COMPENSADOS LTDA|FLORACOMP|07254462000184||RUA DAS INDUSTRIA|AREA INDUSTRIAL|SAO LOURENCO||89990-000|1||SC|49-3344-2534|
000000000011|V V ZINI MADEIRAS - ME|V V ZINI|13916709000183||ROD BR 163,0|MORAES ALMEIDA|ITAITUBA||68180-000|1187||PA||
000000000012|MANCHESTER|MANCHESTER|36072635000141||ESTRADA BEIRA RIO|XEREM|DUQUE DE CAXIAS||25250-415|S/N||RJ|21-3214-1300|
000000000013|FERRAGENS NEGRAO COM LTDA|NEGRAO|76639285002110||ROD PRESIDENTE DUTRA KM 305|RESENDE|RIO DE JANEIRO||27535-000|S/N||RJ||
000000000014|SULPORTAS MADEIRAS LTDA ME||05682516000187||RUA TRAUGOTT|PRESIDENTE GETULHO|SANTA CATARINA||89150-000|1515||SC|47-3352-1816|
000000000015|FORTELIPTO|FORTELIPTO|09021388000181||RUA APIACA|SERRA|SERRA||29174-774|S/N||ES|27-3251-1166|
000000000016|COM DE MADEIRAS MONTE VERDE LTDA|MONTE VERDE|04694319000115||RUA TRES|AREA INDUSTRIAL|PALMAS||85555-000|236||PR|46-3263-1100|
000000000017|IND. FERRAGENS PAGE LTDA|PAGE|33226432000174||RUA PIAUI|TODOS OS SANTOS|RIO DE JANEIRO||20770-130|430||RJ|21-2187-2544|
000000000018|JOAO CLAUDIO MADEIRAS E CIA LTDA|CLAUDIO MADEIRAS|36915072000106||ESTRADA 3 VICINAL LESTE|ZONA RUAL|COTRIGUACU||78330-000|||MT|66-3555-1441|
000000000019|MADEIREIRA FENIX LTDA|FENIX|05803910000126||ROD PA|INDUSTRIAL|TAILANDIA||68695-000|S/N|KM 125|PA|91-3752-1582|
000000000020|MADEREIRA CAIABI LTDA|CAIABI|04892903000185||ROD BR 116|LAGOINHA|MANDIRITUBA||83800-000|K 140||PR|41-3626-1164|
000000000021|EDIPAN MADEIRAS LTDA|EDIPAN|39510805000110||ESTRADA CAETANO MONTEIRO|NITEROI||||835||||
000000000022|MADPORT IND. E COMERCIO DE MADEIRAS LTDA|MADPORT|09258710000190||RUA ALFREDO MATZEMBACHER|AREA INDUSTRIAL|PORTO UNIAO||89400-000|100||SC|42-3523-3318|
000000000023|ETMADEIRAS REPRESENTACOES LTDA|EMILIO REPRES.|03727225000132||RUA N.SENHORA DAS MERCES QD:12 LT:25|ITAPUACU|MARICA||24936-775|01||RJ|21-2638-0028|21-8535-8189
000000000024|INDUSTRIAL PLASTIC COMERCIO DE PVC LTDA|PLASTIC|04986328000180||RUA MANOEL FERREIRA|VILA RIBEIRO|BALNEARIO||88380-000|29||SC|47-3345-3038|
000000000025|FABRICA DE ESQUADRIAS NEUSA|NEUSA|76846062000180||MINISTRO LUIZ GALOTTI|BENEDITO|SANTA CATARINA||89124-000|1205||SC|47-3385-4000|
000000000026|CRISTO REI MADEIRAS E TRANSPORTES LTDA|CRISTO REI|07108001000101||ROD. BR 116 KM 125|PASSA DOIS|SANTA CECILIA||89540-000|S/N||SC|49-3244-3384|
000000000027|KEYWOODS COM IND IMP E EXP MADEIRAS|KEYWOODS|13707127000197||ESTRADA DO AEROPRTO|CENTRO|NOVA M VERDE||78593-000|||MT|66-3572-1583|
000000000028|GIB DO BRASIL|GIB|01437739000128||AV JACOBUS BALDI 821|JARDIM FDS|SAO PAULO||05847-000|821||SP||
000000000029|JAAN MAD IND COMERCI||04914067000192||ESTRADA TABAPORA|INDUSTRIAL|MATO GROSSO||78563-000|01||MT|66-3557-1283|
000000000030|ESQUADRIAS PRIMAVERA LTDA|ESQ. PRIMAVERA|02035945000174||||||29920-000||||27-3265-1454|
000000000031|ROIMA RONDONIA|ROIMA|34733865000189||RUA MINAS GERAIS|INDUSTRIAL|RO||76890-000|0||||
000000000032|ALEXANDRE DOS SANTOS MADEIREIRA ME|ALEXANDRE|14698106000115|134405188|ROD. MT 320|P URBANO|MATO GROSSO||78500-000|KM 33||MT|66-3541-1823|
000000000033|HAGA S/A|HAGA|30540991000166||AV ENG HANS|FRIBURGO|RIO DE JANEIRO||28605-220|26||RJ|22-2525-8000|
000000000034|FABRICIO DE O. LIMA|FABRICIO|05537744000163|240116652|OTR BR 171 190|ZONA RURAL|RORAINOPOLIS||69373-000|190||RR||
000000000035|PORT ROYAL|ROYAL|02609831000190||AV DAS ANERICAS|RECREIO|RIO DE JANEIRO||22785-000|13780||RJ|21-2497-6021|
000000000036|TELEMAR NORTE LESTE SA|OI FIXO|33000118000179||||||20230-070|||||
000000000037|LIGHT|LIGHT||||||||||||
000000000038|FUNCIONARIOS|FUNCIONARIOS||||||||||||
000000000039|PASSAGEM FUNCIONARIO|PASSAGEM FUNCIONARIO||||||||||||
000000000040|JOPAN MADEIRAS|JOPAN MADEIRAS||||||||||||
000000000041|CRIAMOS SITE CAMPANHA GOOGLE|CRIAMOS SITE GOOGLE||||||||||||
000000000042|ACEMIR EUCALIPTO|ACEMIR EUCALIPTO||||||||||||
000000000043|FRETES|FRETES||||||||||||
000000000044|F S REIS|F S REIS||||||||||||
000000000045|CHAT BRISA|CHAT BRISA||||||||||||
000000000046|FABRICA DE ESQUADRIAS NEUSA|NEUSA||||||||||||
000000000047|ETMADEIRAS REPRESENTACOES LTDA.|ETMADEIRAS||||||||||||
000000000048|MOLDUFORTE|MOLDUFORTE||||||||||||
000000000049|CESTA DE ALIMENTOS BRASIL LTDA.|CAB|11023891000207|78906960|||||25230-000|||||
000000000050|FGTS|FGTS||||||||||||
000000000051|EUCALIPTO ALEXANDRE|EUCALIPTO ALEXANDRE||||||||||||
000000000052|ERMARE REPRESENTACOES|ERMARE REPRESENTACOE||||||||||||
000000000053|CONTADOR|CONTADOR||||||||||||
000000000054|CLARO|CLARO||||||||||||
000000000055|GRAFICA TD BELO|GRAFICA TD BELO||||||||||||
000000000056|NEXTEL|NEXTEL||||||||||||
000000000057|ARP REPRESENTACOES|ARP REPRESENT||||||||||||
000000000058|MACARANDUBA CONTEINER|MACARANDUBA CONTEIN||||||||||||
000000000059|EUCALIPTO TRATADO|EUCALIPTO TRATADO||||||||||||
000000000060|CEDAE|CEDAE||||||||||||
000000000061|FABRICA DE PORTAS UNIAO - MARGOT|FABRICA DE PORTAS UN||||||||||||
000000000062|IPTU|IPTU||||||||||||
000000000063|BANCO ITAU|BANCO ITAU||||||||||||
000000000064|ITAU CARTAO|ITAU CARTAO||||||||||||
000000000065|EUCALIPTO ACEMIR|EUCALIPTO ACEMIR||||||||||||
000000000066|JAMIL|JAMIL||||||||||||
000000000067|MARGOT VENDAS|MARGOT VENDAS||||||||||||
000000000068|ACARITA|ACARITA||||||||||||
000000000069|ICMS|ICMS||||||||||||
000000000070|ESQUADRIAS PORTO UNIAO - CRISLUZ|PORTO UNIAO||||||||||||
000000000071|BASSANI|BASSANI||||||||||||
000000000072|SUL PORTAS|SUL PORTAS||||||||||||
000000000073|RENATO GALPAO|RENATO GALPAO||||||||||||
000000000074|CONTAINER|CONTAINER||||||||||||
000000000075|APECS COMPENSADOS|APECS COMPENSADOS||||||||||||
000000000076|SIMPLES|||||||||||||
000000000077|CEDRINHO ARAO|||||||||||||
000000000078|PREGOS COBRE|||||||||||||
000000000079|RAMOS E CRUZ REPRESENTACOES DE MADEIRAS LTDA|||||||||||||
000000000080|PARAJU|PARAJU||||||||||||
000000000081|IRMAOS FRAINER|||||||||||||
000000000082|PORTAS PINTURA|||||||||||||
000000000083|BELLER ESQUADRIAS|BELLER||||||||||||
000000000084|JONAS|JONAS||||||||||||
000000000085|MOTA|||||||||||||
000000000086|ALESSANDRO|ALESSANDRO||||||||||||
000000000087|PRECON INDUSTRIAL SA|PRECON|23452238000153|4930732000028|RODOVIA MG 424 KM||||33600-000|||||
000000000088|ABRAO|ABRAO||||||||||||
000000000089|GPS|GPS||||||||||||
000000000090|ROTA SUL - MARGOT|ROTA SUL - MARGOT||||||||||||
000000000091|LETREIRO|LETREIRO||||||||||||
000000000092|CEF|CEF||||||||||||
000000000093|BARRETO REPRESENTACOES|BARRETO REPRESENTAC||||||||||||
000000000094|ALEXANDRE MOLDURAS|ALEXANDRE MOLDURAS||||||||||||
000000000095|WALDEMAR HOFFMANN|WALDEMAR HOFFMANN||||||||||||
000000000096|JOELSON|JOELSON||||||||||||
000000000097|L. CLAUDIO MADEIRAS|L. CLAUDIO MADEIRAS||||||||||||
000000000098|PARCELAMENTO|PARCELAMENTO||||||||||||
000000000099|BELLER INDUSTRIA E COMERCIO DE ESTOFADOS LTDA-ME|DA CASA ESQUADRIAS|03943717000165||RUA BENEMERITO ANDRE LIEBEL|ESPIGAO DO BUGRE|MAFRA|4210100|89300-000|610||RJ|21-47435-059|
000000000100|CRISLUZ|CRISLUZ||||||||||||
000000000101|GALON|GALON||||||||||||
000000000102|TETTOGRES|TETTOGRES||||||||||||
000000000103|SUPERGASBRAS ENERGIA LTDA.|SUPERGASBRAS|19791896009159|77048642||||||||||
000000000104|TELHAS REAL|TELHAS REAL||||||||||||
000000000105|RICARDO ANTUNES||22919493000109||||||07171-440|||||
000000000106|PORTAS FRISADAS|PORTAS FRISADAS||||||||||||
000000000107|CEMIG|CEMIG||||||||||||
000000000108|VALE TRANSPORTE|VALE TRANSPORTE||||||||||||
000000000109|TELHA BRANCA|TELHA BRANCA||||||||||||
000000000110|SEGURO|SEGURO|||0|0|0|0|0    -|0||0||
000000000111|ETERNIT|ETERNIT|||0|0|0|0|0    -|0||0||
000000000112|CLIMAFOIL||68364744000129||0|0|0|0|0    -|0||0||
000000000113|EQUIPO LOG COMERCIO E SERVICOS EIRELI||10702605000269|87291804|RUA MARIA RODRIGUES|OLARIA|RIO DE JANEIRO|3304557|21031-490|183||RJ|21-21560-2351|
000000000114|COMETA|COMETA|||0|0|0|0|0    -|0||0||
000000000115|DETRAN|DETRAN|||0|0|0|0|0    -|0||0||
000000000116|TELHA VIDRO PLASTICO|TELHA VIDRO / PLASTI|||0|0|0|0|0    -|0||0||
000000000117|RODRIGO MADEFORTE|RODRIGO MADEFORTE|||0|0|0|0|0    -|0||0||
000000000118|BOMBEIROS|BOMBEIROS|||0|0|0|0|0    -|0||0||0 -     -
000000000119|PLASTIFICADO D ROSANGELA|PLASTIFICADO|||0|0|0|0|0    -|0||0||
000000000120|PLASTIFICADO|PLASTIFICADO|||0|0|0|0|0    -|0||0||
000000000121|XMAD|XMAD|||0|0|0|0|0    -|0|0|0||
000000000122|CARLOS PRESILHAS|CARLOS PRESILHAS|||0|0|0|0|0    -|0||0||
000000000123|MADEFORT||||0|0|0|0|0    -|0||0||0 -     -
000000000124|ALTO NIVEL EXTINTORES|ALTO NIVEL EXTINTORE|31418546000190||0|0|0|0|0    -|0||0||
